618,5,5,5,5,
143,160,160,5,5,
34,160,160,5,5,
16,160,160,5,0,
22,160,160,5,0,
22,160,160,5,0,
23,160,0,5,0,
8,160,0,5,0,
8,160,0,5,0,
9,160,0,15,0,
309,160,0,15,0,
334,160,10,15,0,
341,160,10,25,0,
331,160,15,25,0,
346,160,15,25,0,
323,160,15,25,0,
635,160,15,25,0,
623,160,15,25,0,
331,160,10,25,0,
624,160,10,25,5,
729,160,10,25,10,
428,0,10,25,5,
327,0,10,30,5,
340,0,10,25,15,
602,0,0,30,15,
902,0,10,40,15,
921,0,10,40,15,
941,0,10,140,15,
1220,0,10,140,20,
1704,0,15,140,30,
1866,0,5,147,30,
1764,0,5,145,30,
1864,0,5,145,40,
1942,0,5,149,40,
1795,0,5,149,140,
1889,0,5,149,140,
1164,0,5,149,140,
1261,10,5,24,140,
1117,10,5,4,140,
1115,10,5,0,140,
1081,10,5,0,140,
1050,10,5,0,140,
1060,20,15,0,140,
1146,20,5,0,15,
976,20,0,0,15,
1041,20,0,0,15,
1066,20,0,0,15,
1068,20,0,0,20,
1136,20,0,0,20,
1136,20,0,0,20,
1136,20,0,5,20,
1136,20,0,5,20,
543,20,0,7,5,
521,20,0,5,5,
610,20,0,5,5,
646,20,0,5,5,
571,20,160,5,5,
571,20,160,5,5,
471,20,160,0,5,
535,20,0,0,5,
450,20,160,0,5,
750,20,160,10,5,
550,20,160,0,5,
580,0,160,0,5,
583,0,160,0,5,
778,5,160,0,5,
768,5,160,0,5,
572,0,160,0,15,
872,0,160,10,15,
860,0,160,10,25,
1266,5,165,10,0,
1286,5,165,10,15,
1516,5,5,10,22,
1815,5,15,10,27,
1779,5,15,10,27,
1872,5,15,10,22,
772,5,10,10,20,
765,15,10,10,20,
447,5,10,10,10,
441,5,10,10,10,
442,5,10,10,10,
917,5,10,10,0,
754,5,10,10,22,
761,15,10,10,22,
753,5,10,10,20,
1231,0,10,10,20,
1427,0,10,22,0,
1429,0,10,24,0,
1344,160,10,24,0,
1540,165,0,24,0,
740,165,0,14,0,
793,160,0,14,0,
801,160,0,14,0,
772,160,0,10,10,
772,160,0,170,10,
709,160,155,170,10,
715,160,155,170,10,
936,160,175,170,10,
606,160,165,170,10,
635,160,165,170,10,
625,160,165,170,15,
625,160,165,170,15,
630,170,165,160,15,
630,170,165,160,15,
605,10,165,160,15,
1103,20,165,160,5,
1105,20,165,160,5,
1170,20,170,160,5,
1484,20,170,160,5,
1788,30,170,160,5,
1368,30,180,190,5,
1525,30,180,160,5,
1515,30,180,160,5,
1524,30,180,160,5,
414,190,180,190,25,
420,190,180,190,25,
420,190,180,30,35,
1820,200,180,0,15,
1824,200,180,0,15,
1924,200,160,0,15,
1926,200,160,0,15,
2257,40,170,0,15,
2251,40,170,0,15,
2356,40,10,0,15,
1325,0,10,0,15,
1316,0,10,0,15,
1338,0,10,10,15,
